date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
2022-08-16,123105.20116922297,2583.262358878125,3075.8789659346244,668,406,529,256,310,300,173,216,99,52
2022-08-17,122899.62159920351,2870.2993959151618,3003.545632601291,695,378,390,256,339,275,164,235,143,66
2022-08-18,122762.54202918406,2866.4660625818287,2998.2750392227836,741,421,309,320,297,285,163,191,112,72
2022-08-19,122519.13173976076,2754.864749799486,2911.172475120219,802,426,321,323,290,271,143,192,98,37
2022-08-20,122824.9265785426,3216.96731390205,1206.439141786886,601,143,94,77,58,61,29,52,16,5
2022-08-21,123543.52141732442,1925.0339805687167,1370.439141786886,551,300,97,108,84,56,39,57,25,7
2022-08-22,124044.61625610625,1871.5339805687167,3747.2819576713623,710,787,499,323,268,476,180,241,150,73
2022-08-23,123296.12986745125,2998.7955690163703,2932.0736243380293,687,324,465,305,290,321,122,215,104,48
2022-08-24,123211.76847879626,2847.712235683037,3618.5736243380293,772,395,395,581,311,295,228,335,136,115
2022-08-25,122891.40709014128,3298.212235683037,3080.1069576713626,796,410,306,337,391,281,149,239,124,68
2022-08-26,122632.97903481961,2821.6789023497035,2822.3291798935848,799,472,320,272,294,223,103,143,96,40
2022-08-27,122870.83986838684,3060.1900134608145,1367.3291798935848,655,192,111,102,99,61,27,46,19,7
2022-08-28,123731.70070195408,2228.1900134608145,1423.8291798935848,636,277,102,84,87,50,39,50,21,12
2022-08-29,124126.56153552131,1818.6900134608147,3507.3291798935848,718,796,482,313,288,287,167,216,117,57
2022-08-30,123348.42236908854,2729.1900134608145,3558.853427672807,726,374,542,393,395,355,202,275,152,83
2022-08-31,123149.1809830064,3359.612041590667,2968.8021456215247,848,352,349,307,354,227,133,211,100,53
2022-09-01,122936.93703282169,2756.558195436821,3587.135478954858,807,600,345,409,458,312,169,251,136,64
2022-09-02,122477.19308263698,3127.3915287701543,2806.135478954858,830,451,282,275,281,220,115,155,80,41
2022-09-03,122781.44913245228,3110.3915287701543,1276.4688122881914,602,187,104,82,87,65,22,38,21,7
2022-09-04,123681.53851560091,2176.558195436821,1635.913256732636,734,351,111,122,122,72,46,37,19,9
2022-09-05,124069.73900986066,2024.1137509923765,1499.913256732636,396,273,173,100,134,109,59,103,40,24
2022-09-06,124388.9395041204,1819.1137509923765,3835.2465900659695,627,685,784,368,434,315,173,237,119,48
2022-09-07,123578.63999838014,3024.9470843257095,3453.3299233993025,833,376,503,394,463,265,168,226,140,62
2022-09-08,123418.67382597321,3293.3637509923765,3490.671590065969,881,411,420,325,467,316,165,229,149,46
2022-09-09,122991.57154245517,3063.569306547932,2526.671590065969,813,432,237,251,272,176,78,125,65,37
2022-09-10,123226.46925893713,2761.569306547932,1280.6331285275078,558,199,102,78,119,89,29,40,23,8
2022-09-11,123968.1746677268,2022.3385373171627,1356.6331285275078,522,288,115,97,100,68,43,61,29,9
2022-09-12,124406.38007651645,1794.8385373171627,3131.85535074973,608,671,489,334,306,244,125,175,80,38
2022-09-13,123865.69659641721,2591.171870650496,3400.7220174163967,705,365,530,307,460,322,183,256,161,61
2022-09-14,123436.41311631797,2971.4385373171626,2988.122017416397,778,376,373,276,385,290,152,221,123,39
2022-09-15,123094.32963621874,2646.0385373171625,3164.675588844968,699,419,299,312,407,315,158,242,123,68
2022-09-16,122890.60329897665,2960.949251602877,2768.675588844968,817,435,264,250,310,242,111,178,62,37
2022-09-17,123014.87696173455,2892.949251602877,1301.7263134826492,581,167,127,79,109,67,33,42,31,18
2022-09-18,123671.46221869536,1958.3115704434567,1352.7263134826492,501,297,97,85,117,76,36,48,21,10
2022-09-19,124191.04747565617,1872.3115704434567,3273.242980149316,685,721,449,210,331,273,146,227,103,48
2022-09-20,123505.59939928364,2587.79490377679,3821.9096468159823,669,372,490,395,476,426,198,350,246,113
2022-09-21,123336.81798957779,3653.1282371101233,3386.4819451417056,827,359,388,353,426,332,165,246,148,71
2022-09-22,122914.92546876082,2964.5894243247353,3378.00892926869,785,465,347,335,416,356,165,242,132,76
2022-09-23,122645.97580508671,3109.0592655945766,2697.4223908071513,855,453,215,273,299,209,99,135,82,35
2022-09-24,123002.2184491049,3053.6650348253456,1247.9223908071513,603,213,100,80,77,67,33,31,14,4
2022-09-25,123834.9610931231,2080.6650348253456,1378.7223908071512,589,286,91,95,118,76,37,47,19,4
2022-09-26,124291.3037371413,1835.0650348253457,3497.722390807151,689,804,540,284,326,301,137,212,115,55
2022-09-27,123562.64638115949,2769.0650348253457,3307.3223908071514,703,343,539,278,396,296,168,247,165,94
2022-09-28,123005.18902517768,2749.865034825346,3281.163618877327,769,419,438,336,377,326,166,202,109,51
2022-09-29,122552.24219551166,2828.2167892113107,2883.2585093882753,708,372,279,273,362,305,136,237,121,65
2022-09-30,122402.40485489674,2733.4211687733546,2927.4585093882756,740,430,295,291,343,269,109,194,124,64
2022-10-01,122445.96751428182,2971.0211687733545,1281.4181053478715,563,212,97,97,105,68,42,42,17,6
